Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1436445793224755.0	(-17.6075862429, 61.2258022576, 558.52237984)	(0.581504655226, 0.19435178766, 0.361741333008)	(-0.463971662088, 168.335425327, 47.9997475091)	(0.498627302775, 0.466241495986)	4.77	0	(40.5949969243, 62.7155636418, 554.365563838)	(0.40206889961, 0.184553066021, 0.347885131836)	(10.0651718775, 182.823103298, 53.5609089633)	(0.529778615022, 0.409604756459)	4.11	0		
1436445793241380.0	(-17.5572030863, 61.1823952603, 558.371700745)	(0.581358949317, 0.194499459769, 0.361239013672)	(-1.24179675719, 182.717607072, 53.5204137545)	(0.496326045097, 0.410017173291)	4.93	0	(40.5778831699, 62.6830051846, 554.25114909)	(0.402101363995, 0.184661326354, 0.34750386556)	(6.36534506546, 178.216483751, 51.7926369801)	(0.51883238185, 0.427613433342)	4.10	0		
1436445793258137.0	(-17.5165302199, 61.1561378415, 558.281151487)	(0.581239427629, 0.194589220038, 0.360937093099)	(-2.64171981644, 185.3080316, 54.514760058)	(0.492184260898, 0.399890415948)	4.96	0	(40.5948518841, 62.6582823473, 554.230099807)	(0.402045052961, 0.184780957061, 0.34743367513)	(6.33582091139, 178.148971349, 51.7667220357)	(0.518745032282, 0.427877359856)	4.09	0		
1436445793274752.0	(-17.481793195, 61.1533846149, 558.25930183)	(0.581134055841, 0.194592102713, 0.360864257812)	(-0.0226856758916, 184.961514412, 54.3817478503)	(0.499932882616, 0.401245057029)	4.96	0	(40.609946071, 62.6288411566, 554.0773409)	(0.401971321321, 0.18485128988, 0.346924438476)	(7.75304849953, 177.657211026, 51.5779575865)	(0.522938013312, 0.429799800525)	4.12	0		
1436445793291392.0	(-17.4246427624, 61.13952696, 558.107593398)	(0.580967739734, 0.194583053084, 0.360358683268)	(-1.79508864986, 186.348329935, 54.914083332)	(0.494689086835, 0.395823573358)	4.97	0	(40.6341136668, 62.6052608442, 553.914343249)	(0.40186777466, 0.184884773498, 0.346381225586)	(8.23702433729, 179.060600815, 52.1166551762)	(0.524369894489, 0.424313523004)	4.12	0		
1436445793307998.0	(-17.3764284309, 61.1470189356, 558.080254842)	(0.580821348788, 0.194528828568, 0.360267537435)	(-2.62857170649, 187.687833042, 55.4282577261)	(0.492223160632, 0.390587048313)	4.95	0	(40.6802524993, 62.6035891588, 554.013384572)	(0.401742672385, 0.184949928909, 0.346711222331)	(6.21196851693, 176.026852459, 50.9521369937)	(0.51837860508, 0.436173368024)	4.12	0		
1436445793324748.0	(-17.344887002, 61.1420772308, 558.091701858)	(0.580723695819, 0.1945614329, 0.360305582682)	(-0.768177128664, 186.762869303, 55.0732061644)	(0.497727286602, 0.394203012889)	4.97	0	(40.739328186, 62.5937016075, 554.107602724)	(0.40157672458, 0.18505610802, 0.347025349935)	(5.87801910329, 177.365599313, 51.4660210968)	(0.517390589063, 0.430939799401)	4.13	0		
1436445793341387.0	(-17.3136759, 61.1220131007, 558.018312502)	(0.580632128469, 0.194627769229, 0.360061035156)	(-1.64160061893, 187.79866096, 55.4707995294)	(0.495143193435, 0.390153788274)	4.97	0	(40.7664949879, 62.554023767, 554.091767256)	(0.401489682066, 0.185258299376, 0.34697265625)	(8.93562813637, 179.8049618, 52.4023815447)	(0.526436769634, 0.421403589524)	4.11	0		
1436445793357996.0	(-17.2860543645, 61.0974822035, 557.988185965)	(0.58054889413, 0.19474132937, 0.359960530599)	(-0.626527889009, 187.320459846, 55.2872398449)	(0.498146367192, 0.392023221867)	4.98	0	(40.7780076566, 62.5193357249, 554.00746659)	(0.401438938166, 0.185395257038, 0.34669148763)	(6.05092962804, 180.241762623, 52.5700495387)	(0.517902158663, 0.419696002254)	4.15	0		
1436445793374622.0	(-17.2635973804, 61.0745199941, 557.905859064)	(0.580484721603, 0.194818103888, 0.359686279297)	(-1.49097888083, 185.295458538, 54.5099338306)	(0.495588819879, 0.399939567873)	4.97	0	(40.7826820855, 62.489550286, 553.86215981)	(0.401398569998, 0.185471734048, 0.34620727539)	(8.82027867205, 177.80175696, 51.6334422045)	(0.52609549903, 0.429234726505)	4.15	0		
1436445793391245.0	(-17.2520027011, 61.0503200421, 557.901996793)	(0.580449125815, 0.194944150933, 0.359673258463)	(-1.66439216876, 188.372381292, 55.6910247031)	(0.495075762814, 0.387910941001)	4.99	0	(40.7874689117, 62.4664786018, 553.848901851)	(0.401381240849, 0.185586995551, 0.346162923177)	(8.17857362393, 176.934449397, 51.3005222293)	(0.524196963384, 0.432625295556)	4.15	0		
1436445793407995.0	(-17.2456799532, 61.0428615062, 557.957846628)	(0.580426229865, 0.195014101747, 0.35985941569)	(-2.3088575153, 186.985907417, 55.1588203646)	(0.493169060606, 0.393331089065)	4.97	0	(40.7938795933, 62.4507439725, 553.890154939)	(0.401368592384, 0.185693973418, 0.346300455729)	(9.52756673554, 180.903004476, 52.8238702481)	(0.528188067265, 0.417111006741)	4.14	0		
