Timestamp	soundtime	trialvec	LeftPupil	RightPupil
1374603149752001			3.729690552	3.785690308
1374603149768625			3.695709229	3.779006958
1374603149785249			3.684906006	3.765167236
1374603149801999			3.660400391	3.748947144
1374603149818621			3.649734497	3.733261108
1374603149835246			3.657714844	3.730758667
1374603149851870			3.653549194	3.711578369
1374603149868494			3.63053894	3.709976196
1374603149885243			3.635986328	3.702468872
1374603149901869			3.619720459	3.702255249
1374603149918493			3.614578247	3.696228027
1374603149935117			3.634170532	3.723373413
1374603149951867			3.610137939	3.687728882
1374603149968493			3.602127075	3.686447144
1374603149985116			3.635681152	3.677734375
1374603150001739			3.633117676	3.682998657
1374603150018363			3.632644653	3.675704956
1374603150035113			3.645095825	3.678649902
1374603150051738			3.65423584	3.68371582
1374603150068361			3.654434204	3.691802979
1374603150084986			3.667678833	3.68838501
1374603150101736			3.684295654	3.69619751
1374603150118360			3.699005127	3.716827393
1374603150134985			3.681716919	3.714263916
1374603150151609			3.707321167	3.732955933
1374603150168359			3.696731567	3.734420776
1374603150184988			3.70135498	3.748916626
1374603150201605			3.693237305	3.751068115
1374603150218229			3.742782593	3.760620117
1374603150234854			3.749984741	3.771682739
1374603150251603			3.749710083	3.77003479
1374603150268229			3.753570557	3.789535522
1374603150284853			3.77432251	3.808959961
1374603150301477			3.792648315	3.820480347
1374603150318227			3.801208496	3.829498291
1374603150334855			3.795471191	3.823059082
1374603150351476			3.810028076	3.81803894
1374603150368098			3.801269531	3.837554932
1374603150384848			3.798339844	3.845901489
1374603150401472			3.793136597	3.844772339
1374603150418096			3.805130005	3.840866089
1374603150434721			3.812240601	3.832672119
1374603150451346			3.811569214	3.839096069
1374603150468095			3.827896118	3.831481934
1374603150484720			3.831787109	3.823257446
1374603150501344			3.806167603	3.820831299
1374603150517968			3.801681519	3.822387695
1374603150534718			3.799133301	3.820678711
1374603150551340			3.813491821	3.808990479
1374603150567965			3.810668945	3.817901611
1374603150584589			3.77746582	3.80506897
1374603150601213			3.782577515	3.789413452
1374603150617963			3.747650146	3.782470703
1374603150634588			3.748764038	3.806808472
1374603150651219			3.737869263	3.788757324
1374603150667837			3.718673706	3.779312134
1374603150684586			3.721496582	3.763092041
1374603150701210			3.697906494	3.751815796
1374603150717836			3.682571411	3.75302124
1374603150734458			3.6693573	3.758773804
1374603150751082			3.655838013	3.772888184
1374603150767831			3.6978302	3.763122559
1374603150784455			3.686050415	3.762542725
1374603150801081			3.685577393	3.758071899
1374603150817705			3.669036865	3.762527466
1374603150834455			3.673690796	3.76751709
1374603150851080			3.680221558	3.764450073
1374603150867704			3.68536377	3.764892578
1374603150884328			3.689376831	3.774414063
1374603150901078			3.695220947	3.765823364
1374603150917700			3.696716309	3.761199951
1374603150934324			3.697113037	3.765625
1374603150950948			3.692306519	3.750320435
1374603150967574			3.703598022	3.738952637
1374603150984323			3.717575073	3.743896484
1374603151000948			3.727005005	3.743469238
1374603151017572			3.6900177	3.727767944
1374603151034208			3.704849243	3.728683472
1374603151050946			3.698303223	3.724990845
1374603151067573			3.706207275	3.704711914
1374603151084196			3.679443359	3.724349976
1374603151100817			3.670074463	3.694351196
1374603151117567			3.649093628	3.69883728
1374603151134201			3.660339355	3.681610107
1374603151150815			3.632659912	3.668014526
1374603151167440			3.62059021	3.664550781
1374603151184065			3.587371826	3.652145386
1374603151200814			3.566894531	3.626983643
1374603151217439			3.570724487	3.61177063
1374603151234063			3.526779175	3.579299927
1374603151250689			3.499298096	3.546463013
1374603151267438			3.506561279	3.533966064
1374603151284059			3.47102356	3.518493652
1374603151300684			3.457046509	3.476409912
1374603151317308			3.439956665	3.461212158
1374603151333933			3.436172485	3.452316284
1374603151350683			3.395233154	3.414550781
1374603151367307			3.377029419	3.42276001
1374603151383931			3.371170044	3.398376465
1374603151400556			3.341903687	3.377563477
1374603151417305			3.366424561	3.364044189
1374603151433930			3.342910767	3.372070313
1374603151450555			3.35647583	3.360671997
1374603151467176			3.324188232	3.327301025
1374603151483926			3.303253174	3.351638794
1374603151500550			3.307250977	3.329330444
1374603151517177			3.314361572	3.352996826
1374603151533800			3.323974609	3.348220825
1374603151550425			3.315444946	3.344314575
1374603151567174			3.334823608	3.338424683
1374603151583798			3.31741333	3.347900391
1374603151600422			3.330307007	3.358901978
1374603151617047			3.352874756	3.345016479
1374603151633797			3.363128662	3.37538147
1374603151650419			3.396102905	3.382858276
1374603151667043			3.379119873	3.404815674
1374603151683668			3.409713745	3.404373169
1374603151700293			3.403106689	3.417007446
1374603151717042			3.431350708	3.44152832
1374603151733667			3.447219849	3.482192993
1374603151750291			3.472808838	3.491744995
1374603151766915			3.507659912	3.496414185
1374603151783665			3.506347656	3.515762329
1374603151800290			3.517074585	3.554489136
1374603151816914			3.553649902	3.550186157
1374603151833536			3.547622681	3.576675415
1374603151850286			3.572143555	3.589691162
1374603151866910			3.585083008	3.617858887
1374603151883535			3.610595703	3.622161865
1374603151900159			3.628631592	3.639282227
1374603151916784			3.633148193	3.662994385
1374603151933534			3.652511597	3.690597534
1374603151950157			3.664215088	3.707092285
1374603151966783			3.667480469	3.721328735
1374603151983413			3.702301025	3.714859009
1374603152000157			3.706985474	3.726852417
1374603152016778			3.704528809	3.749450684
1374603152033403			3.712081909	3.737991333
1374603152050028			3.721343994	3.760406494
1374603152066777			3.706726074	3.742584229
1374603152083402			-1	-1
1374603152100026			-1	-1
1374603152116651			-1	-1
1374603152133275			-1	-1
1374603152150025			-1	-1
1374603152166649			-1	-1
1374603152183315			-1	-1
1374603152199980			-1	-1
1374603152216646			-1	-1
1374603152233270			-1	-1
1374603152249936			-1	-1
1374603152266519			3.879547119	3.87828064
1374603152283143			3.865768433	3.838500977
1374603152299893			3.874572754	3.859222412
1374603152316517			3.882339478	3.868148804
1374603152333143			3.890457153	3.885528564
1374603152349773			3.88494873	3.895263672
1374603152366516			3.899505615	3.880569458
1374603152383138			3.891265869	3.87902832
1374603152399769			3.893585205	3.885757446
1374603152416387			3.918945313	3.887863159
1374603152433137			3.919219971	3.906402588
1374603152449768			3.919418335	3.902633667
1374603152466386			3.934555054	3.923400879
1374603152483010			3.926513672	3.934204102
1374603152499640			3.951782227	3.95324707
1374603152516384			3.94493103	3.971389771
1374603152533009			3.957977295	3.968917847
1374603152549633			3.969558716	3.975021362
1374603152566255			3.977996826	3.997741699
1374603152583004			3.983963013	4.010375977
1374603152599630			3.993347168	4.002090454
1374603152616254			3.98828125	4.028167725
1374603152632878			4.015563965	4.040054321
1374603152649628			4.021270752	4.052886963
1374603152666252			4.003128052	4.06022644
1374603152682877			4.025283813	4.068344116
1374603152699502			4.05418396	4.080245972
1374603152716126			4.044952393	4.082321167
1374603152732875			4.067687988	4.089538574
1374603152749497			4.079193115	4.102005005
1374603152766122			4.06477356	4.107650757
1374603152782747			4.071807861	4.11428833
1374603152799497			4.06010437	4.123306274
1374603152816120			4.070343018	4.120025635
1374603152832745			4.067092896	4.128097534
1374603152849369			4.081848145	4.123901367
1374603152866000			4.072280884	4.127212524
1374603152882746			4.080169678	4.124908447
1374603152899368			4.086975098	4.135513306
1374603152915993			4.086074829	4.130172729
1374603152932615			4.084487915	4.139831543
