Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	cuetime	correct	choice	iti_mean	iti_range	trialvec
1435667853011580.0	(-18.3018768614, 22.9710808103, 598.854367672)	(0.580844698819, 0.404326617553, 0.496181233724)	(-4.40184265501, 153.870670677, 42.4473852767)	(0.486976796878, 0.522788621278)	4.03	0	(39.5250962536, 22.5126534314, 595.019488917)	(0.411657865827, 0.405901926969, 0.483398234049)	(-2.07462955057, 152.499910846, 41.9212128459)	(0.49386204275, 0.528147338365)	4.15	0									
1435667853028327.0	(-18.2434621472, 22.9986664373, 598.793066581)	(0.580678170497, 0.404179032132, 0.495976969401)	(-1.97800783042, 153.157249736, 42.1735353854)	(0.494147905827, 0.525577600719)	4.03	0	(39.6194784078, 22.5193181872, 595.211966651)	(0.411411245323, 0.405902961904, 0.484039916992)	(-3.1667389496, 152.784065554, 42.0302869303)	(0.490630949853, 0.527036491188)	4.17	0									
1435667853044951.0	(-18.1474481549, 23.0086949927, 598.907400866)	(0.580391695056, 0.404149905646, 0.496358032226)	(-3.78926365242, 155.147392863, 42.9374609275)	(0.488789160792, 0.517797525945)	4.05	0	(39.6817535491, 22.5069188416, 595.019441808)	(0.411198874312, 0.405930384855, 0.483398234049)	(-0.0540652547963, 153.649729466, 42.3625759824)	(0.499840043625, 0.523652347668)	4.12	0									
1435667853061573.0	(-18.0864644087, 23.0350818136, 598.785624196)	(0.580221124487, 0.403997370139, 0.495952148437)	(-2.6388292541, 154.369270006, 42.6387749097)	(0.492192812858, 0.520839444855)	4.00	0	(39.7752679489, 22.5069834476, 595.203185696)	(0.410953495592, 0.405962662855, 0.484010620117)	(-4.00454139302, 152.61439019, 41.9651562658)	(0.488152244399, 0.52769980379)	4.15	0									
1435667853078208.0	(-18.0450798658, 23.0581771368, 598.814321947)	(0.580098990882, 0.40388818623, 0.496047770182)	(-2.1225590382, 154.782432111, 42.7973690733)	(0.493720239532, 0.519224268527)	4.02	0	(39.8035280767, 22.5067768897, 595.016008265)	(0.410841591952, 0.405930447444, 0.48338663737)	(-2.17673310137, 150.038457433, 40.976372695)	(0.493559961238, 0.537769908392)	4.16	0									
1435667853094947.0	(-17.961470674, 23.0837061577, 598.780169226)	(0.579857367308, 0.403755624091, 0.495933837891)	(-5.03706052199, 157.229596305, 43.7367242424)	(0.485097454077, 0.509657559401)	3.99	0	(39.8826169604, 22.5141564642, 595.06224234)	(0.410617164399, 0.405901952627, 0.483540852865)	(-4.51793228478, 152.135377435, 41.7812850285)	(0.486633336435, 0.529572410342)	4.13	0									
1435667853111572.0	(-17.9317907929, 23.1192786385, 598.781695948)	(0.579771018359, 0.40357977532, 0.495938924154)	(-2.11189196522, 157.852213346, 43.9757186412)	(0.493751798919, 0.507223560025)	3.96	0	(39.9381284845, 22.5352313402, 595.152108384)	(0.410468748719, 0.405813150188, 0.483840332031)	(-4.07829025476, 152.189638423, 41.8021133571)	(0.487934052501, 0.529360287635)	4.12	0									
1435667853128196.0	(-17.9110070921, 23.164749339, 598.730725632)	(0.579713674153, 0.403345423913, 0.495769042969)	(-3.32590975015, 152.560290257, 41.944389759)	(0.490160030325, 0.527911296883)	3.96	0	(39.9532409055, 22.5586328673, 595.075073696)	(0.410412639671, 0.405683124128, 0.483583577474)	(-3.30754395978, 154.153674998, 42.5560177798)	(0.490214366983, 0.521682271312)	4.10	0									
1435667853144820.0	(-17.9047993098, 23.2063254253, 598.701843631)	(0.579697540182, 0.4031343281, 0.495672810872)	(-0.93110385653, 155.121740331, 42.9276140855)	(0.497245254862, 0.517897809497)	3.92	0	(39.9617862587, 22.6224572858, 595.005702346)	(0.410377281282, 0.405353472882, 0.483352254232)	(-3.21553684771, 147.650749786, 40.0598401933)	(0.490486577374, 0.547104183794)	4.09	0									
1435667853161444.0	(-17.8929415937, 23.2464425969, 598.655720172)	(0.579665898286, 0.402927304416, 0.495519002279)	(-3.67893275109, 153.503411761, 42.3064112621)	(0.489115583576, 0.524224348079)	3.93	0	(39.9620278304, 22.6679000072, 594.83761386)	(0.410350667981, 0.405097479898, 0.482791951497)	(-3.53338624678, 152.077027764, 41.7588872405)	(0.489546194536, 0.529800516952)	4.05	0									
1435667853178194.0	(-17.89052017, 23.2859314315, 598.601639768)	(0.579662220079, 0.40272191593, 0.495338745117)	(-3.6353663387, 153.50530731, 42.307138877)	(0.489244478288, 0.524216937804)	3.92	0	(39.964222803, 22.7025840098, 594.812320171)	(0.410340560663, 0.404920469038, 0.482707722982)	(-4.73244088169, 153.906258302, 42.4610457495)	(0.485998695616, 0.522649498427)	4.03	0									
1435667853194819.0	(-17.8926388749, 23.3076932737, 598.503762397)	(0.579674136733, 0.402596310832, 0.495012613932)	(-2.35194862792, 155.29183469, 42.9929055833)	(0.493041572107, 0.517232858914)	3.87	0	(39.9648227629, 22.7285508497, 594.822279995)	(0.410340568482, 0.40479312358, 0.482740885417)	(-3.85307392093, 151.77810484, 41.6441443091)	(0.488600373015, 0.530969097575)	4.00	0									
1435667853211442.0	(-17.9062765669, 23.3002635772, 598.566006591)	(0.579710312387, 0.40264445106, 0.495219930013)	(-4.8588395931, 152.315074507, 41.8502625716)	(0.485624734931, 0.528869919832)	3.90	0	(39.9556356888, 22.7282552766, 594.765136145)	(0.41035855434, 0.404784339506, 0.482550455729)	(-3.55620470684, 152.400363377, 41.8830010947)	(0.489478684299, 0.528536499697)	4.01	0									
1435667853228066.0	(-17.9209131889, 23.2678824093, 598.540312282)	(0.579754212629, 0.402800152611, 0.495134277344)	(-2.82441430745, 154.336141124, 42.6260582367)	(0.491643744652, 0.520968955732)	3.88	0	(39.9460189629, 22.7171959116, 594.807797698)	(0.410393314673, 0.404846997324, 0.482692667643)	(-4.23169582896, 151.693476406, 41.6116592977)	(0.487480189855, 0.531299935862)	3.97	0									
1435667853244814.0	(-17.9271550609, 23.2456516458, 598.482032268)	(0.579775567801, 0.402899667778, 0.494940185547)	(-2.55397052357, 155.286908269, 42.9910145542)	(0.49244387419, 0.51725211779)	3.86	0	(39.9418939887, 22.7076050826, 594.770076815)	(0.410399430571, 0.404887929702, 0.482566935221)	(-4.61207513523, 152.468015256, 41.9089695779)	(0.486354807292, 0.528272027926)	3.99	0									
