Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1461697842714997.0	(60.390851433, -1.9781653036, 651.535865486)	(0.347075312695, 0.500200183753, 0.671786295573)	(95.2841711288, 167.826273416, 54.479492467)	(0.685449924345, 0.510285547393)	3.34	1	(59.1943738825, -1.92704184606, 638.176020369)	(0.347754787858, 0.500135051405, 0.627253417969)	(-11.0897153417, 165.004692382, 53.3355287984)	(0.478416279989, 0.520786407211)	3.31	3						
1461697842723349.0	(60.3922189005, -1.97243916096, 651.543726542)	(0.347072699269, 0.500167416158, 0.67181233724)	(96.5890422476, 167.933291269, 54.5228810975)	(0.6879895723, 0.509887267326)	3.35	1	(60.3737002855, -1.96194914021, 651.543465796)	(0.347132657552, 0.500107908708, 0.671811523437)	(-6.17434397065, 171.781679818, 56.0831470018)	(0.487982981762, 0.495565017424)	3.39	3						
1461697842731637.0	(60.3985040448, -1.97365300762, 651.555250799)	(0.347055076202, 0.500174063878, 0.671850789388)	(95.538272307, 169.444315231, 55.135500935)	(0.685944477048, 0.504263806361)	3.34	1	(59.195707775, -1.9258098068, 638.144763147)	(0.347742754612, 0.500128370567, 0.627149251302)	(-10.6339345684, 166.773381555, 54.0526147621)	(0.479303358177, 0.514204013566)	3.30	3						
1461697842739951.0	(60.3994533158, -1.97560959235, 651.544923874)	(0.34704952941, 0.500185361059, 0.67181640625)	(96.2489769272, 172.408566132, 56.3373077574)	(0.687327709084, 0.493231983133)	3.29	1	(60.3783173793, -1.96527261937, 651.544842215)	(0.347118032296, 0.500126758967, 0.671816202799)	(-6.09727520562, 176.01100944, 57.797859205)	(0.488132979358, 0.479825048605)	3.32	3						
1461697842748307.0	(60.3959511207, -1.98278120536, 651.56572667)	(0.347065992062, 0.500225940103, 0.671885782878)	(97.5953668764, 178.94116343, 58.9858419949)	(0.689948164415, 0.468920121215)	3.22	1	(60.3766648325, -1.97249734139, 651.565566096)	(0.34712846827, 0.500167618206, 0.671885172526)	(-4.9788278107, 182.078449615, 60.2578031302)	(0.490309794062, 0.457244325958)	3.26	3						
1461697842756667.0	(0.491203579174, 14.0002362513, 651.565728455)	(0.54136452186, 0.409788912854, 0.671885782878)	(-6.23008907439, 185.16467247, 61.5090614769)	(0.487874486036, 0.445758569149)	3.22	0	(60.3956349967, -1.99042784419, 651.633699846)	(0.347083466923, 0.50026842938, 0.672112426758)	(-6.76343887023, 182.469669902, 60.4164169673)	(0.486836436609, 0.455788351686)	3.27	0						
1461697842765024.0	(0.48887807235, 14.0015791812, 651.565728456)	(0.541372051499, 0.409781268829, 0.671885782878)	(-5.41311135145, 188.538564125, 62.8769504123)	(0.489464555563, 0.433202217622)	3.15	0	(60.3903401844, -1.99612962413, 651.606269392)	(0.347094122962, 0.500301421054, 0.672020874023)	(-6.34144909799, 181.616115888, 60.070357517)	(0.48765774796, 0.458964957619)	3.27	0						
1461697842773305.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(60.3893537403, -1.99999005092, 651.618232339)	(0.347100249178, 0.500323236245, 0.672060750325)	(-8.26275247998, 178.632532873, 58.8607128066)	(0.483918348618, 0.470068727679)	3.30	0						
1461697842781622.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(60.3763157748, -2.00066423622, 651.606650812)	(0.347139807633, 0.500327441781, 0.672022094726)	(-3.75525045897, 179.73682597, 59.3084302982)	(0.492691221372, 0.465958965502)	3.27	0						
1461697842789978.0	(0.405279784558, 13.9663466483, 651.235249856)	(0.541638555046, 0.409943958864, 0.670784098307)	(-2.17909038711, 183.460801526, 60.818254999)	(0.495758874295, 0.452099733807)	3.18	0	(60.3594010964, -2.00049023863, 651.643046905)	(0.34720348811, 0.500326102207, 0.672143554687)	(-6.55394323342, 177.079081962, 58.2308916596)	(0.487244174322, 0.475850085739)	3.30	0						
1461697842798333.0	(0.381008473775, 13.9655046622, 651.263471586)	(0.541717854144, 0.409952385166, 0.670878295898)	(-0.938320326144, 183.198571319, 60.7119380702)	(0.498173763476, 0.45307565568)	3.19	0	(60.3384284586, -1.9983415926, 651.651772995)	(0.347273663752, 0.500314011981, 0.672172648112)	(-6.59885364681, 183.896818345, 60.995030854)	(0.487156765966, 0.450477043749)	3.24	0						
1461697842806691.0	(0.351993840126, 13.9699335204, 651.296727862)	(0.541812554883, 0.409931350752, 0.670989176432)	(-2.72844517831, 184.770676185, 61.3493221569)	(0.494689674624, 0.447224874638)	3.22	0	(60.3171070633, -1.99033271833, 651.660840359)	(0.347344986062, 0.500268538588, 0.672202758789)	(-8.61505624127, 175.318374146, 57.5170416057)	(0.483232665938, 0.482402775787)	3.30	0						
1461697842814966.0	(0.322525551569, 13.9744252223, 651.262142921)	(0.541907628489, 0.409901876391, 0.670873819987)	(-0.244635114822, 183.782944538, 60.9488625899)	(0.499523870933, 0.450900839086)	3.18	0	(60.2857746947, -1.98702672007, 651.628588116)	(0.347438938625, 0.500250649404, 0.672095336914)	(-6.16043168102, 180.167580721, 59.4830727343)	(0.488010059009, 0.464355858873)	3.26	0						
1461697842823279.0	(0.287309417235, 13.9758742078, 651.214194647)	(0.542021209165, 0.409888248363, 0.670713907878)	(-2.97334079065, 184.605615346, 61.2824009521)	(0.494213038555, 0.447839168789)	3.25	0	(60.2429791915, -1.9825818719, 651.619987668)	(0.347575789491, 0.500226053979, 0.67206665039)	(-8.59942251453, 175.745334687, 57.6901457419)	(0.483263093588, 0.480813789775)	3.31	0						
1461697842831645.0	(0.242522606401, 13.9709986587, 651.231687689)	(0.542167016142, 0.409918655766, 0.670772298177)	(-2.86961356096, 180.321179168, 59.545346701)	(0.494414921057, 0.463784223417)	3.25	0	(60.2023299654, -1.97231034975, 651.658375031)	(0.347716882821, 0.500167494389, 0.672194620768)	(-6.85990863474, 181.910103342, 60.1895498998)	(0.486648679185, 0.457870847257)	3.24	0						
